type,text_preprocessed
ham,go jurong point crazi avail bugi n great world la e buffet cine got amor wat
ham,ok lar joke wif u oni
spam,free entri wkli comp win fa cup final tkt st may text fa receiv entri questionstd txt ratetc appli over
ham,u dun say earli hor u c alreadi say
ham,nah dont think goe usf live around though
spam,freemsg hey darl week word back id like fun still tb ok xxx std chg send £ rcv
ham,even brother like speak treat like aid patent
ham,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
spam,winner valu network custom select receivea £ prize reward claim call claim code kl valid hour
spam,mobil month u r entitl updat latest colour mobil camera free call mobil updat co free
ham,im gonna home soon dont want talk stuff anymor tonight k ive cri enough today
spam,six chanc win cash pound txt csh send cost pday day tsandc appli repli hl info
spam,urgent week free membership £ prize jackpot txt word claim tc wwwdbuknet lccltd pobox ldnwarw
ham,ive search right word thank breather promis wont take help grant fulfil promis wonder bless time
ham,date sunday
spam,xxxmobilemovieclub use credit click wap link next txt messag click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
ham,oh kim watch
ham,eh u rememb spell name ye v naughti make v wet
ham,fine that way u feel that way gota b
spam,england v macedonia dont miss goalsteam news txt ur nation team eg england trywal scotland txtú poboxoxwwq
ham,serious spell name
ham,i‘m go tri month ha ha joke
ham,ü pay first lar da stock comin
ham,aft finish lunch go str lor ard smth lor u finish ur lunch alreadi
ham,ffffffffff alright way meet sooner
ham,forc eat slice im realli hungri tho suck mark get worri know im sick turn pizza lol
ham,lol alway convinc
ham,catch bu fri egg make tea eat mom left dinner feel love
ham,im back amp pack car ill let know there room
ham,ahhh work vagu rememb feel like lol
ham,wait that still clear sure sarcast that x doesnt want live us
ham,yeah got v apologet n fallen actin like spoilt child got caught till wont go badli cheer
ham,k tell anyth
ham,fear faint housework quick cuppa
spam,thank subscript rington uk mobil charg £month pleas confirm repli ye repli charg
ham,yup ok go home look time msg ü xuhui go learn nd may lesson
ham,oop ill let know roommat done
ham,see letter b car
ham,anyth lor u decid
ham,hello how saturday go text see youd decid anyth tomo im tri invit anyth
ham,pl go ahead watt want sure great weekend abiola
ham,forget tell want need crave love sweet arabian steed mmmmmm yummi
spam,rodger burn msg tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow
ham,see
ham,great hope like man well endow ltgt inch
ham,callsmessagesmiss call
ham,didnt get hep b immunis nigeria
ham,fair enough anyth go
ham,yeah hope tyler cant could mayb ask around bit
ham,u dont know stubborn didnt even want go hospit kept tell mark im weak sucker hospit weak sucker
ham,think first time saw class
ham,gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt
ham,k fyi x ride earli tomorrow morn he crash place tonight
ham,wow never realiz embarass accomod thought like sinc best could alway seem happi cave im sorri didnt dont give im sorri offer im sorri room embarass
spam,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
ham,know mallika sherawat yesterday find lturlgt
spam,congrat year special cinema pass call c suprman v matrix starwar etc free bxipw pm dont miss
ham,sorri ill call later meet
ham,tell reach
ham,yesgauti sehwag odi seri
ham,gonna pick burger way home cant even move pain kill
ham,ha ha ha good joke girl situat seeker
ham,part check iq
ham,sorri roommat took forev ok come
ham,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice
spam,valu custom pleas advis follow recent review mob award £ bonu prize call
ham,today song dedic day song u dedic send ur valuabl frnd first rpli
spam,urgent ur award complimentari trip eurodisinc trav acoentri £ claim txt di £morefrmmob shracomorsglsuplt ls aj
spam,hear new divorc barbi come ken stuff
ham,plane give month end
ham,wah lucki man save money hee
ham,finish class
ham,hi babe im home wanna someth xx
ham,kkwhere youhow perform
ham,u call
ham,wait machan call free
ham,that cool gentleman treat digniti respect
ham,like peopl much shi pa
ham,oper ltgt
ham,still look job much ta earn
ham,sorri ill call later
ham,k call ah
ham,ok way home hi hi
ham,place man
ham,yup next stop
ham,call later dont network urgnt sm
ham,real u get yo need ticket one jacket im done alreadi use multi
ham,ye start send request make pain came back im back bed doubl coin factori gotta cash nitro
ham,im realli still tonight babe
ham,ela kanoil download come wen ur free
ham,yeah don‘t stand close tho you‘ll catch someth
ham,sorri pain ok meet anoth night spent late afternoon casualti mean havent done stuffmoro includ time sheet sorri
ham,smile pleasur smile pain smile troubl pour like rain smile sum hurt u smile becoz someon still love see u smile
spam,pleas call custom servic repres ampm guarante £ cash £ prize
ham,havent plan buy later check alreadi lido got show e afternoon u finish work alreadi
spam,free rington wait collect simpli text password mix verifi get usher britney fml po box mk h ppw
ham,watch telugu moviewat abt u
ham,see finish load loan pay
ham,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u
ham,see cup coffe anim
ham,pleas dont text anymor noth els say
ham,okay name ur price long legal wen pick u ave x am xx
ham,im still look car buy gone drive test yet
ham,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
ham,wow your right didnt mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston
ham,umma life vava umma love lot dear
ham,thank lot wish birthday thank make birthday truli memor
ham,aight ill hit get cash
ham,would ip address test consid comput isnt minecraft server
